,Tau,Method,Recovery
241,0.025,Randomized,1
242,0.05,Randomized,1
243,0.1,Randomized,1
244,0.25,Randomized,1
245,0.5,Randomized,0
246,1.0,Randomized,0
247,5.0,Randomized,0
248,0.0,Naive,0
249,0.025,Randomized,0
250,0.05,Randomized,1
251,0.1,Randomized,0
252,0.25,Randomized,0
253,0.5,Randomized,0
254,1.0,Randomized,0
255,5.0,Randomized,0
256,0.0,Naive,1
257,0.025,Randomized,1
258,0.05,Randomized,1
259,0.1,Randomized,1
260,0.25,Randomized,1
261,0.5,Randomized,0
262,1.0,Randomized,0
263,5.0,Randomized,0
264,0.0,Naive,1
265,0.025,Randomized,1
266,0.05,Randomized,1
267,0.1,Randomized,1
268,0.25,Randomized,1
269,0.5,Randomized,0
270,1.0,Randomized,0
271,5.0,Randomized,0
272,0.0,Naive,1
273,0.025,Randomized,1
274,0.05,Randomized,1
275,0.1,Randomized,1
276,0.25,Randomized,1
277,0.5,Randomized,0
278,1.0,Randomized,0
279,5.0,Randomized,0
280,0.0,Naive,1
281,0.025,Randomized,1
282,0.05,Randomized,1
283,0.1,Randomized,1
284,0.25,Randomized,0
285,0.5,Randomized,0
286,1.0,Randomized,0
287,5.0,Randomized,0
288,0.0,Naive,1
289,0.025,Randomized,0
290,0.05,Randomized,0
291,0.1,Randomized,0
292,0.25,Randomized,1
293,0.5,Randomized,0
294,1.0,Randomized,0
295,5.0,Randomized,0
296,0.0,Naive,1
297,0.025,Randomized,1
298,0.05,Randomized,1
299,0.1,Randomized,1
300,0.25,Randomized,0
301,0.5,Randomized,0
302,1.0,Randomized,0
303,5.0,Randomized,0
304,0.0,Naive,1
305,0.025,Randomized,1
306,0.05,Randomized,1
307,0.1,Randomized,1
308,0.25,Randomized,0
309,0.5,Randomized,0
310,1.0,Randomized,0
311,5.0,Randomized,0
312,0.0,Naive,1
313,0.025,Randomized,1
314,0.05,Randomized,1
315,0.1,Randomized,0
316,0.25,Randomized,0
317,0.5,Randomized,0
318,1.0,Randomized,0
319,5.0,Randomized,0
320,0.0,Naive,1
321,0.025,Randomized,1
322,0.05,Randomized,1
323,0.1,Randomized,1
324,0.25,Randomized,0
325,0.5,Randomized,0
326,1.0,Randomized,0
327,5.0,Randomized,0
328,0.0,Naive,1
329,0.025,Randomized,1
330,0.05,Randomized,1
331,0.1,Randomized,1
332,0.25,Randomized,0
333,0.5,Randomized,0
334,1.0,Randomized,0
335,5.0,Randomized,0
336,0.0,Naive,1
337,0.025,Randomized,1
338,0.05,Randomized,1
339,0.1,Randomized,1
340,0.25,Randomized,0
341,0.5,Randomized,0
342,1.0,Randomized,0
343,5.0,Randomized,0
344,0.0,Naive,1
345,0.025,Randomized,1
346,0.05,Randomized,1
347,0.1,Randomized,1
348,0.25,Randomized,0
349,0.5,Randomized,0
350,1.0,Randomized,0
351,5.0,Randomized,0
352,0.0,Naive,1
353,0.025,Randomized,1
354,0.05,Randomized,1
355,0.1,Randomized,1
356,0.25,Randomized,1
357,0.5,Randomized,0
358,1.0,Randomized,0
359,5.0,Randomized,0
360,0.0,Naive,1
361,0.025,Randomized,1
362,0.05,Randomized,1
363,0.1,Randomized,1
364,0.25,Randomized,0
365,0.5,Randomized,0
366,1.0,Randomized,0
367,5.0,Randomized,0
368,0.0,Naive,1
369,0.025,Randomized,1
370,0.05,Randomized,1
371,0.1,Randomized,0
372,0.25,Randomized,0
373,0.5,Randomized,0
374,1.0,Randomized,0
375,5.0,Randomized,0
376,0.0,Naive,0
377,0.025,Randomized,0
378,0.05,Randomized,0
379,0.1,Randomized,0
380,0.25,Randomized,0
381,0.5,Randomized,0
382,1.0,Randomized,0
383,5.0,Randomized,0
384,0.0,Naive,1
385,0.025,Randomized,1
386,0.05,Randomized,1
387,0.1,Randomized,1
388,0.25,Randomized,0
389,0.5,Randomized,0
390,1.0,Randomized,0
391,5.0,Randomized,0
392,0.0,Naive,1
393,0.025,Randomized,1
394,0.05,Randomized,1
395,0.1,Randomized,1
396,0.25,Randomized,0
397,0.5,Randomized,0
398,1.0,Randomized,0
399,5.0,Randomized,0
400,0.0,Naive,0
401,0.025,Randomized,0
402,0.05,Randomized,0
403,0.1,Randomized,0
404,0.25,Randomized,0
405,0.5,Randomized,0
406,1.0,Randomized,0
407,5.0,Randomized,0
408,0.0,Naive,0
409,0.025,Randomized,0
410,0.05,Randomized,0
411,0.1,Randomized,0
412,0.25,Randomized,0
413,0.5,Randomized,0
414,1.0,Randomized,0
415,5.0,Randomized,0
416,0.0,Naive,1
417,0.025,Randomized,1
418,0.05,Randomized,1
419,0.1,Randomized,1
420,0.25,Randomized,1
421,0.5,Randomized,0
422,1.0,Randomized,0
423,5.0,Randomized,0
424,0.0,Naive,1
425,0.025,Randomized,1
426,0.05,Randomized,1
427,0.1,Randomized,1
428,0.25,Randomized,0
429,0.5,Randomized,0
430,1.0,Randomized,0
431,5.0,Randomized,0
432,0.0,Naive,0
433,0.025,Randomized,0
434,0.05,Randomized,0
435,0.1,Randomized,0
436,0.25,Randomized,0
437,0.5,Randomized,0
438,1.0,Randomized,0
439,5.0,Randomized,0
440,0.0,Naive,1
441,0.025,Randomized,1
442,0.05,Randomized,1
443,0.1,Randomized,1
444,0.25,Randomized,1
445,0.5,Randomized,0
446,1.0,Randomized,0
447,5.0,Randomized,0
448,0.0,Naive,1
449,0.025,Randomized,1
450,0.05,Randomized,1
451,0.1,Randomized,1
452,0.25,Randomized,1
453,0.5,Randomized,0
454,1.0,Randomized,0
455,5.0,Randomized,0
456,0.0,Naive,1
457,0.025,Randomized,1
458,0.05,Randomized,1
459,0.1,Randomized,1
460,0.25,Randomized,0
461,0.5,Randomized,0
462,1.0,Randomized,0
463,5.0,Randomized,0
464,0.0,Naive,1
465,0.025,Randomized,1
466,0.05,Randomized,1
467,0.1,Randomized,0
468,0.25,Randomized,0
469,0.5,Randomized,0
470,1.0,Randomized,0
471,5.0,Randomized,0
472,0.0,Naive,1
473,0.025,Randomized,1
474,0.05,Randomized,1
475,0.1,Randomized,1
476,0.25,Randomized,1
477,0.5,Randomized,0
478,1.0,Randomized,0
479,5.0,Randomized,0
480,0.0,Naive,1
481,0.025,Randomized,1
482,0.05,Randomized,1
483,0.1,Randomized,1
484,0.25,Randomized,1
485,0.5,Randomized,0
486,1.0,Randomized,0
487,5.0,Randomized,0
488,0.0,Naive,1
489,0.025,Randomized,1
490,0.05,Randomized,1
491,0.1,Randomized,1
492,0.25,Randomized,1
493,0.5,Randomized,1
494,1.0,Randomized,0
495,5.0,Randomized,0
496,0.0,Naive,1
497,0.025,Randomized,1
498,0.05,Randomized,1
499,0.1,Randomized,0
500,0.25,Randomized,1
501,0.5,Randomized,0
502,1.0,Randomized,0
503,5.0,Randomized,0
504,0.0,Naive,1
505,0.025,Randomized,1
506,0.05,Randomized,1
507,0.1,Randomized,1
508,0.25,Randomized,0
509,0.5,Randomized,0
510,1.0,Randomized,0
511,5.0,Randomized,0
512,0.0,Naive,1
513,0.025,Randomized,1
514,0.05,Randomized,1
515,0.1,Randomized,1
516,0.25,Randomized,0
517,0.5,Randomized,0
518,1.0,Randomized,0
519,5.0,Randomized,0
520,0.0,Naive,0
521,0.025,Randomized,0
522,0.05,Randomized,0
523,0.1,Randomized,0
524,0.25,Randomized,0
525,0.5,Randomized,1
526,1.0,Randomized,0
527,5.0,Randomized,0
528,0.0,Naive,1
529,0.025,Randomized,1
530,0.05,Randomized,1
531,0.1,Randomized,1
532,0.25,Randomized,0
533,0.5,Randomized,0
534,1.0,Randomized,0
535,5.0,Randomized,0
536,0.0,Naive,1
537,0.025,Randomized,1
538,0.05,Randomized,1
539,0.1,Randomized,1
540,0.25,Randomized,1
541,0.5,Randomized,0
542,1.0,Randomized,0
543,5.0,Randomized,0
544,0.0,Naive,1
545,0.025,Randomized,1
546,0.05,Randomized,1
547,0.1,Randomized,1
548,0.25,Randomized,1
549,0.5,Randomized,0
550,1.0,Randomized,0
551,5.0,Randomized,0
552,0.0,Naive,1
553,0.025,Randomized,1
554,0.05,Randomized,0
555,0.1,Randomized,1
556,0.25,Randomized,1
557,0.5,Randomized,0
558,1.0,Randomized,0
559,5.0,Randomized,0
560,0.0,Naive,1
561,0.025,Randomized,1
562,0.05,Randomized,1
563,0.1,Randomized,1
564,0.25,Randomized,0
565,0.5,Randomized,0
566,1.0,Randomized,0
567,5.0,Randomized,0
568,0.0,Naive,1
569,0.025,Randomized,1
570,0.05,Randomized,1
571,0.1,Randomized,1
572,0.25,Randomized,1
573,0.5,Randomized,0
574,1.0,Randomized,0
575,5.0,Randomized,0
576,0.0,Naive,1
577,0.025,Randomized,1
578,0.05,Randomized,1
579,0.1,Randomized,1
580,0.25,Randomized,1
581,0.5,Randomized,0
582,1.0,Randomized,0
583,5.0,Randomized,0
584,0.0,Naive,1
585,0.025,Randomized,1
586,0.05,Randomized,1
587,0.1,Randomized,1
588,0.25,Randomized,0
589,0.5,Randomized,0
590,1.0,Randomized,0
591,5.0,Randomized,0
592,0.0,Naive,1
593,0.025,Randomized,1
594,0.05,Randomized,1
595,0.1,Randomized,1
596,0.25,Randomized,0
597,0.5,Randomized,0
598,1.0,Randomized,0
599,5.0,Randomized,0
600,0.0,Naive,1
601,0.025,Randomized,1
602,0.05,Randomized,1
603,0.1,Randomized,1
604,0.25,Randomized,0
605,0.5,Randomized,0
606,1.0,Randomized,0
607,5.0,Randomized,0
608,0.0,Naive,1
609,0.025,Randomized,1
610,0.05,Randomized,1
611,0.1,Randomized,1
612,0.25,Randomized,0
613,0.5,Randomized,0
614,1.0,Randomized,0
615,5.0,Randomized,0
616,0.0,Naive,1
617,0.025,Randomized,1
618,0.05,Randomized,1
619,0.1,Randomized,1
620,0.25,Randomized,1
621,0.5,Randomized,0
622,1.0,Randomized,0
623,5.0,Randomized,0
624,0.0,Naive,1
625,0.025,Randomized,1
626,0.05,Randomized,1
627,0.1,Randomized,1
628,0.25,Randomized,1
629,0.5,Randomized,0
630,1.0,Randomized,0
631,5.0,Randomized,0
632,0.0,Naive,1
633,0.025,Randomized,1
634,0.05,Randomized,1
635,0.1,Randomized,1
636,0.25,Randomized,1
637,0.5,Randomized,0
638,1.0,Randomized,0
639,5.0,Randomized,0
640,0.0,Naive,1
641,0.025,Randomized,1
642,0.05,Randomized,1
643,0.1,Randomized,1
644,0.25,Randomized,1
645,0.5,Randomized,0
646,1.0,Randomized,0
647,5.0,Randomized,0
648,0.0,Naive,1
649,0.025,Randomized,1
650,0.05,Randomized,1
651,0.1,Randomized,1
652,0.25,Randomized,1
653,0.5,Randomized,0
654,1.0,Randomized,0
655,5.0,Randomized,0
656,0.0,Naive,1
657,0.025,Randomized,1
658,0.05,Randomized,1
659,0.1,Randomized,1
660,0.25,Randomized,0
661,0.5,Randomized,0
662,1.0,Randomized,0
663,5.0,Randomized,0
664,0.0,Naive,1
665,0.025,Randomized,1
666,0.05,Randomized,1
667,0.1,Randomized,1
668,0.25,Randomized,1
669,0.5,Randomized,0
670,1.0,Randomized,0
671,5.0,Randomized,0
672,0.0,Naive,1
673,0.025,Randomized,1
674,0.05,Randomized,1
675,0.1,Randomized,1
676,0.25,Randomized,1
677,0.5,Randomized,0
678,1.0,Randomized,0
679,5.0,Randomized,0
680,0.0,Naive,1
681,0.025,Randomized,1
682,0.05,Randomized,1
683,0.1,Randomized,0
684,0.25,Randomized,0
685,0.5,Randomized,0
686,1.0,Randomized,0
687,5.0,Randomized,0
688,0.0,Naive,1
689,0.025,Randomized,1
690,0.05,Randomized,1
691,0.1,Randomized,1
692,0.25,Randomized,1
693,0.5,Randomized,0
694,1.0,Randomized,0
695,5.0,Randomized,0
696,0.0,Naive,1
697,0.025,Randomized,1
698,0.05,Randomized,1
699,0.1,Randomized,1
700,0.25,Randomized,1
701,0.5,Randomized,0
702,1.0,Randomized,0
703,5.0,Randomized,0
704,0.0,Naive,1
705,0.025,Randomized,1
706,0.05,Randomized,1
707,0.1,Randomized,1
708,0.25,Randomized,1
709,0.5,Randomized,0
710,1.0,Randomized,0
711,5.0,Randomized,0
712,0.0,Naive,1
713,0.025,Randomized,1
714,0.05,Randomized,1
715,0.1,Randomized,1
716,0.25,Randomized,1
717,0.5,Randomized,0
718,1.0,Randomized,0
719,5.0,Randomized,0
720,0.0,Naive,1
721,0.025,Randomized,1
722,0.05,Randomized,1
723,0.1,Randomized,1
724,0.25,Randomized,1
725,0.5,Randomized,1
726,1.0,Randomized,0
727,5.0,Randomized,0
728,0.0,Naive,1
729,0.025,Randomized,1
730,0.05,Randomized,1
731,0.1,Randomized,1
732,0.25,Randomized,0
733,0.5,Randomized,0
734,1.0,Randomized,0
735,5.0,Randomized,0
736,0.0,Naive,1
737,0.025,Randomized,1
738,0.05,Randomized,1
739,0.1,Randomized,1
740,0.25,Randomized,1
741,0.5,Randomized,0
742,1.0,Randomized,0
743,5.0,Randomized,0
744,0.0,Naive,1
745,0.025,Randomized,1
746,0.05,Randomized,1
747,0.1,Randomized,1
748,0.25,Randomized,0
749,0.5,Randomized,0
750,1.0,Randomized,0
751,5.0,Randomized,0
752,0.0,Naive,1
753,0.025,Randomized,1
754,0.05,Randomized,1
755,0.1,Randomized,1
756,0.25,Randomized,0
757,0.5,Randomized,0
758,1.0,Randomized,0
759,5.0,Randomized,0
760,0.0,Naive,1
761,0.025,Randomized,1
762,0.05,Randomized,1
763,0.1,Randomized,1
764,0.25,Randomized,0
765,0.5,Randomized,0
766,1.0,Randomized,0
767,5.0,Randomized,0
768,0.0,Naive,1
769,0.025,Randomized,1
770,0.05,Randomized,1
771,0.1,Randomized,1
772,0.25,Randomized,1
773,0.5,Randomized,0
774,1.0,Randomized,0
775,5.0,Randomized,0
776,0.0,Naive,1
777,0.025,Randomized,1
778,0.05,Randomized,1
779,0.1,Randomized,0
780,0.25,Randomized,0
781,0.5,Randomized,0
782,1.0,Randomized,0
783,5.0,Randomized,0
784,0.0,Naive,1
785,0.025,Randomized,1
786,0.05,Randomized,1
787,0.1,Randomized,1
788,0.25,Randomized,0
789,0.5,Randomized,0
790,1.0,Randomized,0
791,5.0,Randomized,0
792,0.0,Naive,1
793,0.025,Randomized,1
794,0.05,Randomized,1
795,0.1,Randomized,1
796,0.25,Randomized,0
797,0.5,Randomized,0
798,1.0,Randomized,0
799,5.0,Randomized,0
800,0.0,Naive,1
801,0.025,Randomized,1
802,0.05,Randomized,1
803,0.1,Randomized,0
804,0.25,Randomized,0
805,0.5,Randomized,0
806,1.0,Randomized,0
807,5.0,Randomized,0
808,0.0,Naive,1
809,0.025,Randomized,1
810,0.05,Randomized,1
811,0.1,Randomized,1
812,0.25,Randomized,1
813,0.5,Randomized,0
814,1.0,Randomized,0
815,5.0,Randomized,0
816,0.0,Naive,1
817,0.025,Randomized,1
818,0.05,Randomized,1
819,0.1,Randomized,1
820,0.25,Randomized,0
821,0.5,Randomized,0
822,1.0,Randomized,0
823,5.0,Randomized,0
824,0.0,Naive,1
825,0.025,Randomized,1
826,0.05,Randomized,1
827,0.1,Randomized,0
828,0.25,Randomized,1
829,0.5,Randomized,0
830,1.0,Randomized,0
831,5.0,Randomized,0
832,0.0,Naive,1
833,0.025,Randomized,1
834,0.05,Randomized,1
835,0.1,Randomized,1
836,0.25,Randomized,0
837,0.5,Randomized,0
838,1.0,Randomized,0
839,5.0,Randomized,0
840,0.0,Naive,1
841,0.025,Randomized,1
842,0.05,Randomized,1
843,0.1,Randomized,0
844,0.25,Randomized,0
845,0.5,Randomized,0
846,1.0,Randomized,0
847,5.0,Randomized,0
848,0.0,Naive,1
849,0.025,Randomized,1
850,0.05,Randomized,1
851,0.1,Randomized,1
852,0.25,Randomized,1
853,0.5,Randomized,0
854,1.0,Randomized,0
855,5.0,Randomized,0
856,0.0,Naive,1
857,0.025,Randomized,1
858,0.05,Randomized,1
859,0.1,Randomized,1
860,0.25,Randomized,0
861,0.5,Randomized,0
862,1.0,Randomized,0
863,5.0,Randomized,0
864,0.0,Naive,1
865,0.025,Randomized,1
866,0.05,Randomized,1
867,0.1,Randomized,1
868,0.25,Randomized,0
869,0.5,Randomized,0
870,1.0,Randomized,0
871,5.0,Randomized,0
872,0.0,Naive,1
873,0.025,Randomized,1
874,0.05,Randomized,1
875,0.1,Randomized,1
876,0.25,Randomized,0
877,0.5,Randomized,0
878,1.0,Randomized,0
879,5.0,Randomized,0
880,0.0,Naive,1
881,0.025,Randomized,1
882,0.05,Randomized,1
883,0.1,Randomized,1
884,0.25,Randomized,0
885,0.5,Randomized,0
886,1.0,Randomized,0
887,5.0,Randomized,0
888,0.0,Naive,1
889,0.025,Randomized,1
890,0.05,Randomized,1
891,0.1,Randomized,1
892,0.25,Randomized,0
893,0.5,Randomized,0
894,1.0,Randomized,0
895,5.0,Randomized,0
896,0.0,Naive,1
897,0.025,Randomized,1
898,0.05,Randomized,1
899,0.1,Randomized,1
900,0.25,Randomized,1
901,0.5,Randomized,0
902,1.0,Randomized,0
903,5.0,Randomized,0
904,0.0,Naive,1
905,0.025,Randomized,1
906,0.05,Randomized,1
907,0.1,Randomized,1
908,0.25,Randomized,1
909,0.5,Randomized,0
910,1.0,Randomized,0
911,5.0,Randomized,0
912,0.0,Naive,1
913,0.025,Randomized,1
914,0.05,Randomized,1
915,0.1,Randomized,1
916,0.25,Randomized,0
917,0.5,Randomized,0
918,1.0,Randomized,0
919,5.0,Randomized,0
920,0.0,Naive,1
921,0.025,Randomized,1
922,0.05,Randomized,1
923,0.1,Randomized,1
924,0.25,Randomized,1
925,0.5,Randomized,0
926,1.0,Randomized,0
927,5.0,Randomized,0
928,0.0,Naive,1
929,0.025,Randomized,1
930,0.05,Randomized,1
931,0.1,Randomized,1
932,0.25,Randomized,0
933,0.5,Randomized,0
934,1.0,Randomized,0
935,5.0,Randomized,0
936,0.0,Naive,1
937,0.025,Randomized,1
938,0.05,Randomized,1
939,0.1,Randomized,1
940,0.25,Randomized,1
941,0.5,Randomized,0
942,1.0,Randomized,0
943,5.0,Randomized,0
944,0.0,Naive,1
945,0.025,Randomized,1
946,0.05,Randomized,1
947,0.1,Randomized,1
948,0.25,Randomized,1
949,0.5,Randomized,1
950,1.0,Randomized,0
951,5.0,Randomized,0
952,0.0,Naive,0
953,0.025,Randomized,1
954,0.05,Randomized,1
955,0.1,Randomized,0
956,0.25,Randomized,1
957,0.5,Randomized,0
958,1.0,Randomized,0
959,5.0,Randomized,0
960,0.0,Naive,1
961,0.025,Randomized,1
962,0.05,Randomized,1
963,0.1,Randomized,1
964,0.25,Randomized,1
965,0.5,Randomized,0
966,1.0,Randomized,0
967,5.0,Randomized,0
968,0.0,Naive,1
969,0.025,Randomized,1
970,0.05,Randomized,1
971,0.1,Randomized,0
972,0.25,Randomized,1
973,0.5,Randomized,0
974,1.0,Randomized,0
975,5.0,Randomized,0
976,0.0,Naive,1
977,0.025,Randomized,1
978,0.05,Randomized,1
979,0.1,Randomized,1
980,0.25,Randomized,0
981,0.5,Randomized,0
982,1.0,Randomized,0
983,5.0,Randomized,0
984,0.0,Naive,1
985,0.025,Randomized,1
986,0.05,Randomized,1
987,0.1,Randomized,1
988,0.25,Randomized,1
989,0.5,Randomized,0
990,1.0,Randomized,0
991,5.0,Randomized,0
992,0.0,Naive,0
993,0.025,Randomized,0
994,0.05,Randomized,1
995,0.1,Randomized,1
996,0.25,Randomized,1
997,0.5,Randomized,0
998,1.0,Randomized,0
999,5.0,Randomized,0
1000,0.0,Naive,0
1001,0.025,Randomized,0
1002,0.05,Randomized,0
1003,0.1,Randomized,0
1004,0.25,Randomized,1
1005,0.5,Randomized,1
1006,1.0,Randomized,0
1007,5.0,Randomized,0
1008,0.0,Naive,1
1009,0.025,Randomized,1
1010,0.05,Randomized,1
1011,0.1,Randomized,1
1012,0.25,Randomized,1
1013,0.5,Randomized,0
1014,1.0,Randomized,0
1015,5.0,Randomized,0
1016,0.0,Naive,1
1017,0.025,Randomized,1
1018,0.05,Randomized,1
1019,0.1,Randomized,1
1020,0.25,Randomized,0
1021,0.5,Randomized,0
1022,1.0,Randomized,0
1023,5.0,Randomized,0
1024,0.0,Naive,1
1025,0.025,Randomized,1
1026,0.05,Randomized,1
1027,0.1,Randomized,1
1028,0.25,Randomized,1
1029,0.5,Randomized,0
1030,1.0,Randomized,0
1031,5.0,Randomized,0
1032,0.0,Naive,1
1033,0.025,Randomized,1
1034,0.05,Randomized,1
1035,0.1,Randomized,1
1036,0.25,Randomized,1
1037,0.5,Randomized,0
1038,1.0,Randomized,0
1039,5.0,Randomized,0
1040,0.0,Naive,1
1041,0.025,Randomized,1
1042,0.05,Randomized,1
1043,0.1,Randomized,1
1044,0.25,Randomized,0
1045,0.5,Randomized,0
1046,1.0,Randomized,0
1047,5.0,Randomized,0
1048,0.0,Naive,1
1049,0.025,Randomized,1
1050,0.05,Randomized,1
1051,0.1,Randomized,1
1052,0.25,Randomized,1
1053,0.5,Randomized,0
1054,1.0,Randomized,0
1055,5.0,Randomized,0
1056,0.0,Naive,1
1057,0.025,Randomized,1
1058,0.05,Randomized,1
1059,0.1,Randomized,1
1060,0.25,Randomized,1
1061,0.5,Randomized,0
1062,1.0,Randomized,0
1063,5.0,Randomized,0
1064,0.0,Naive,0
1065,0.025,Randomized,0
1066,0.05,Randomized,1
1067,0.1,Randomized,0
1068,0.25,Randomized,0
1069,0.5,Randomized,0
1070,1.0,Randomized,0
1071,5.0,Randomized,0
1072,0.0,Naive,1
1073,0.025,Randomized,1
1074,0.05,Randomized,1
1075,0.1,Randomized,1
1076,0.25,Randomized,1
1077,0.5,Randomized,0
1078,1.0,Randomized,0
